Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P25367|RNQ1_YEAST	P25367	RNQ1_YEAST	RNQ1	405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	[PIN+] prion protein RNQ1	0.9999	0.999	2	19	19	19	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	331378.47	175138.23	205013.8	369134.22	430332.06	370873.34	589681.06	654243.3	0.0	683651.4	843825.0	1248008.0	1168030.6	717591.75	1010528.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25369|LSB5_YEAST	P25369	LSB5_YEAST	LSB5	354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	LAS seventeen-binding protein 5	1.0	0.999	3	13	13	13	1	2	2	2	2	1	1	1	0	0	0	0	0	0	1	1	2	2	2	2	1	1	1	0	0	0	0	0	0	1	1	2	2	2	2	1	1	1	0	0	0	0	0	0	1	1956203.9	1875498.9	1712637.0	1720820.5	2474177.0	2225500.2	179787.72	255445.66	205256.67	187919.5	182943.86	168821.23	163915.88	210151.75	186598.98	1796284.4	1605744.5	1481764.9	1536193.6	1702391.6	1952105.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25371|ADP1_YEAST	P25371	ADP1_YEAST	ADP1	1049	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable ATP-dependent permease	1.0	0.9989	3	8	8	8	3	1	1	0	1	2	0	0	0	0	0	0	0	0	0	3	1	1	0	1	2	0	0	0	0	0	0	0	0	0	3	1	1	0	1	2	0	0	0	0	0	0	0	0	0	488663.78	499090.66	470249.66	499248.5	459997.62	475460.16	0.0	0.0	256597.89	0.0	0.0	0.0	0.0	0.0	0.0	537024.94	370761.25	526161.6	442683.7	485542.16	290518.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25372|TRX3_YEAST	P25372	TRX3_YEAST	TRX3	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Thioredoxin-3, mitochondrial	1.0	0.999	5	50	50	50	4	5	5	5	5	5	4	3	2	2	2	2	1	2	3	4	5	5	5	5	5	4	3	2	2	2	2	1	2	3	4	5	5	5	5	5	4	3	2	2	2	2	1	2	3	9816335.0	1.0330696E7	1.0414864E7	1.0656432E7	1.0643758E7	1.0970246E7	7288459.5	6393233.0	6628997.5	6362733.0	5894768.0	5872773.5	6796512.0	6614746.5	5786197.0	4090859.8	4392773.5	4314510.0	4516318.0	4311662.5	4649617.0	4366459.5	3834875.0	3886807.5	3534520.8	3254168.5	3154815.2	3538703.5	3825917.8	3114979.5	
sp|P25373|GLRX1_YEAST	P25373	GLRX1_YEAST	GRX1	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glutaredoxin-1	1.0	0.999	6	52	52	52	6	3	3	5	5	6	5	4	1	3	3	2	1	3	2	6	3	3	5	5	6	5	4	1	3	3	2	1	3	2	6	3	3	5	5	6	5	4	1	3	3	2	1	3	2	1.1344662E7	1.0445468E7	1.0967187E7	1.1146918E7	1.1713992E7	1.0866619E7	1.2555922E7	9620336.0	8092613.5	9146159.0	1.0925934E7	1.2865115E7	1.5090459E7	1.204552E7	1.1386144E7	6146983.0	7377452.0	7195300.5	5537267.0	5572945.5	5632153.0	7774531.5	5439627.0	5354616.5	5276300.5	6244856.5	8176291.0	7843427.0	6283914.0	7228809.5	
sp|P25374|NFS1_YEAST	P25374	NFS1_YEAST	NFS1	497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cysteine desulfurase, mitochondrial	1.0	0.999	5	29	29	29	3	3	1	1	4	3	4	1	1	2	1	2	1	1	1	3	3	1	1	4	3	4	1	1	2	1	2	1	1	1	3	3	1	1	4	3	4	1	1	2	1	2	1	1	1	2010243.5	1958486.0	1862258.2	2226735.5	2132655.5	2302662.0	1630328.9	1380626.0	406174.53	1219572.2	1619261.4	3016007.5	3224120.0	2487483.0	2249009.8	720378.4	647150.6	629618.1	767943.75	766664.1	799257.1	888622.8	1106717.6	150423.64	0.0	0.0	2166958.2	2284231.0	1919060.0	0.0	
sp|P25375|PRTD_YEAST	P25375	PRTD_YEAST	PRD1	712	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Saccharolysin	1.0	0.999	10	83	83	83	10	7	8	8	6	7	5	4	3	4	3	5	5	3	5	10	7	8	8	6	7	5	4	3	4	3	5	5	3	5	10	7	8	8	6	7	5	4	3	4	3	5	5	3	5	7679556.0	6311616.0	7436873.5	7250555.0	8234306.0	7086803.5	6595197.0	4279823.0	1219632.2	3719467.0	5151662.5	5299465.0	5950862.0	4534211.0	6907342.0	1425211.0	1019550.7	1162999.8	1416677.8	1643263.0	1302140.6	1908532.1	1882103.5	521927.75	1937508.6	2754163.0	2515341.5	2591692.8	2369850.0	2076504.1	
sp|P25385|BOS1_YEAST	P25385	BOS1_YEAST	BOS1	244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein transport protein BOS1	0.9994	0.9978	2	4	4	4	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	385212.2	288251.38	337131.28	435454.12	439974.88	375892.16	440539.12	448887.75	0.0	443045.5	636342.1	632831.5	482435.78	460793.8	448238.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25386|USO1_YEAST	P25386	USO1_YEAST	USO1	1790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Intracellular protein transport protein USO1	0.9946	0.9903	3	3	3	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	114542.36	13642.7705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25443|RS2_YEAST	P25443	RS2_YEAST	RPS2	254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Small ribosomal subunit protein uS5	1.0	0.999	12	133	133	133	8	6	10	11	9	9	12	8	6	8	9	10	7	8	12	8	6	10	11	9	9	12	8	6	8	9	10	7	8	12	8	6	10	11	9	9	12	8	6	8	9	10	7	8	12	6.4265304E7	6.1267012E7	5.816937E7	6.5646756E7	6.529177E7	6.779178E7	9.706747E7	9.880476E7	7.980664E7	8.918026E7	8.586943E7	8.660766E7	7.140671E7	8.421095E7	8.830751E7	1.8480466E7	1.6730638E7	1.3109459E7	1.8782888E7	1.9313036E7	1.9558194E7	2.021324E7	1.8965464E7	1.4419529E7	1.919589E7	2.0400352E7	2.0987408E7	1.9600632E7	1.9312624E7	1.9734746E7	
sp|P25451|PSB3_YEAST	P25451	PSB3_YEAST	PUP3	205	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Proteasome subunit beta type-3	1.0	0.999	4	39	39	39	3	3	3	3	3	3	4	2	1	2	2	3	0	2	5	3	3	3	3	3	3	4	2	1	2	2	3	0	2	5	3	3	3	3	3	3	4	2	1	2	2	3	0	2	5	5290992.0	5122664.0	5211462.0	5020524.5	5195900.0	5211093.0	4745398.5	3805539.0	3888386.8	3905561.5	2285006.5	2764122.0	1517602.0	3658515.2	4105759.5	1760484.1	1886679.4	1921677.4	1849915.0	1913489.8	1903928.4	1621721.9	1180213.5	1441865.9	1216123.5	1258974.8	1405667.2	1607971.5	1238120.2	1336540.2	
sp|P25491|MAS5_YEAST	P25491	MAS5_YEAST	YDJ1	409	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial protein import protein MAS5	1.0	0.999	7	96	96	96	9	10	11	10	10	9	7	7	6	4	3	3	2	3	2	9	10	11	10	10	9	7	7	6	4	3	3	2	3	2	9	10	11	10	10	9	7	7	6	4	3	3	2	3	2	1.6436792E7	1.5437437E7	1.6323988E7	1.6526415E7	1.8397638E7	1.5889713E7	1.523052E7	1.68479E7	1.0899473E7	1.7127898E7	1.9668052E7	1.995168E7	1.9869536E7	1.8579704E7	1.6945378E7	3871428.8	3825455.5	4036007.2	3831650.5	4223228.0	3763598.0	3304821.8	3797448.0	2752065.8	3699587.8	4024463.0	4021262.8	4008101.8	3993306.0	3769674.5	
sp|P25555|GBP2_YEAST	P25555	GBP2_YEAST	GBP2	427	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Serine/arginine (SR)-type shuttling mRNA binding protein GBP2	0.9771	0.9975	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92542.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25566|MXR2_YEAST	P25566	MXR2_YEAST	MXR2	168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Peptide methionine sulfoxide reductase 2	0.9647	0.999	1	8	8	8	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	933103.75	605766.94	564594.2	601503.2	551928.25	720944.25	470569.47	412252.9	236991.73	0.0	0.0	131656.67	0.0	300866.56	270875.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25567|SRO9_YEAST	P25567	SRO9_YEAST	SRO9	434	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	RNA-binding protein SRO9	0.9617	0.9989	1	6	6	6	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	398486.16	307767.5	381343.75	340204.8	402821.38	310778.94	470409.8	511757.6	0.0	366249.8	657169.25	583409.8	483489.03	0.0	419444.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25573|MGR1_YEAST	P25573	MGR1_YEAST	MGR1	417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR1	0.965	0.999	1	6	6	6	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	161240.19	222691.56	154301.98	225968.8	228323.58	0.0	27298.639	0.0	93662.24	0.0	0.0	67919.555	50767.188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25574|EMC1_YEAST	P25574	EMC1_YEAST	EMC1	760	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ER membrane protein complex subunit 1	0.9994	0.9937	2	15	15	15	1	3	1	1	2	1	0	2	0	1	0	1	0	1	1	1	3	1	1	2	1	0	2	0	1	0	1	0	1	1	1	3	1	1	2	1	0	2	0	1	0	1	0	1	1	310977.7	193446.67	212988.53	317455.28	386255.34	287570.66	383732.4	440981.97	42323.527	408888.88	594447.2	880479.25	783205.44	493068.72	589166.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25605|ILV6_YEAST	P25605	ILV6_YEAST	ILV6	309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Acetolactate synthase small subunit, mitochondrial	1.0	0.999	7	51	51	51	5	4	5	5	4	4	5	2	2	2	2	4	2	2	3	5	4	5	5	4	4	5	2	2	2	2	4	2	2	3	5	4	5	5	4	4	5	2	2	2	2	4	2	2	3	1.0735179E7	1.0052338E7	1.033631E7	1.1186528E7	1.2459539E7	1.0273812E7	1.3201531E7	1.0462024E7	7691926.0	1.138597E7	1.4686382E7	1.4663326E7	1.5702127E7	1.3167618E7	1.3195682E7	5696478.0	4777782.5	4932343.0	5950690.5	6959461.0	5753477.0	6940461.0	5146982.5	4115703.5	5862818.0	7413283.5	7622992.5	7470229.5	6681949.5	6274022.5	
sp|P25613|ADY2_YEAST	P25613	ADY2_YEAST	ADY2	283	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Accumulation of dyads protein 2	1.0	0.999	4	30	30	30	2	1	2	1	0	1	4	2	2	2	1	4	3	2	3	2	1	2	1	0	1	4	2	2	2	1	4	3	2	3	2	1	2	1	0	1	4	2	2	2	1	4	3	2	3	5856360.0	5352696.5	5084057.0	5265592.5	5280581.5	5907812.0	1.8524286E7	1.5676915E7	1.4014424E7	1.2303071E7	1.1819927E7	1.4580888E7	1.6924548E7	1.6344034E7	1.5927408E7	7287110.0	0.0	0.0	0.0	2919746.2	4458106.5	1.4388769E7	1.0163019E7	7364840.0	7580030.0	7174978.5	1.0361118E7	1.255641E7	1.1770452E7	1.2033982E7	
sp|P25617|YCQ6_YEAST	P25617	YCQ6_YEAST	YCR016W	290	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YCR016W	0.83	0.9944	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25618|CWH43_YEAST	P25618	CWH43_YEAST	CWH43	953	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein CWH43	0.9998	0.999	2	5	5	5	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	437234.78	413649.25	436334.38	498866.66	442564.7	1008440.8	285684.2	239356.6	0.0	0.0	88520.484	130746.445	0.0	194789.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25619|HSP30_YEAST	P25619	HSP30_YEAST	HSP30	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	30 kDa heat shock protein	1.0	0.999	2	13	13	13	0	0	0	0	0	1	2	0	0	1	2	3	2	0	2	0	0	0	0	0	1	2	0	0	1	2	3	2	0	2	0	0	0	0	0	1	2	0	0	1	2	3	2	0	2	695336.06	93633.586	406913.53	955426.06	946421.06	1105635.6	1182379.8	340249.28	46282.77	1226792.2	2190860.8	2145092.0	2644936.2	1683855.5	1953212.8	0.0	0.0	0.0	0.0	0.0	0.0	733758.9	0.0	0.0	730209.6	1665199.4	1835063.9	2235137.0	1416019.9	1673136.5	
sp|P25623|SYP1_YEAST	P25623	SYP1_YEAST	SYP1	870	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Suppressor of yeast profilin deletion	1.0	0.999	5	55	55	55	6	6	4	6	6	5	5	3	2	2	2	2	1	2	3	6	6	4	6	6	5	5	3	2	2	2	2	1	2	3	6	6	4	6	6	5	5	3	2	2	2	2	1	2	3	2068841.8	1856109.1	1897373.8	2033097.2	1955540.9	2116514.2	1291741.6	1267138.1	588973.06	1064410.9	1318036.6	1601140.5	1214854.2	1198990.2	782265.6	653555.4	601168.2	606937.6	637918.0	598430.44	666431.25	504649.34	524542.1	444226.16	429409.44	488347.16	589260.6	446371.56	438952.53	487860.44	
sp|P25626|IMG1_YEAST	P25626	IMG1_YEAST	IMG1	169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Large ribosomal subunit protein bL19m	0.9605	0.9989	1	10	10	10	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	531732.3	516825.22	469425.8	611242.2	676196.9	541446.3	486389.06	778181.1	338127.03	680588.5	829110.94	906832.4	952908.3	749767.25	755251.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25631|YCU1_YEAST	P25631	YCU1_YEAST	YCR051W	222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ankyrin repeat-containing protein YCR051W	0.6788	0.9871	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	57441.77	46196.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25632|RSC6_YEAST	P25632	RSC6_YEAST	RSC6	483	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Chromatin structure-remodeling complex protein RSC6	0.9243	0.9977	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25642|IMG2_YEAST	P25642	IMG2_YEAST	IMG2	146	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Large ribosomal subunit protein mL49	1.0	0.9986	2	3	3	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	178053.0	105419.44	215678.0	0.0	0.0	0.0	0.0	458502.8	483110.2	0.0	210025.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25644|PAT1_YEAST	P25644	PAT1_YEAST	PAT1	796	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA topoisomerase 2-associated protein PAT1	1.0	0.999	4	11	11	11	1	1	1	3	1	1	0	1	0	1	1	0	0	0	0	1	1	1	3	1	1	0	1	0	1	1	0	0	0	0	1	1	1	3	1	1	0	1	0	1	1	0	0	0	0	0.0	51317.613	0.0	89693.555	106280.61	78000.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79403.35	0.0	60856.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25654|YCY0_YEAST	P25654	YCY0_YEAST	YCR090C	182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	UPF0587 protein YCR090C	0.9607	0.9989	1	8	8	8	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	688039.9	651996.06	574633.3	633931.25	596395.0	0.0	0.0	0.0	535646.2	0.0	438095.84	476039.03	602697.75	0.0	555470.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25655|NOT1_YEAST	P25655	NOT1_YEAST	CDC39	2108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	General negative regulator of transcription subunit 1	1.0	0.9988	4	12	12	12	1	1	2	2	2	3	0	0	1	0	0	0	0	0	0	1	1	2	2	2	3	0	0	1	0	0	0	0	0	0	1	1	2	2	2	3	0	0	1	0	0	0	0	0	0	46653.98	0.0	24444.781	0.0	93411.59	46492.676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25694|CDC48_YEAST	P25694	CDC48_YEAST	CDC48	835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell division control protein 48	1.0	0.999	33	396	396	396	38	30	34	37	38	34	32	23	18	21	19	22	15	14	21	38	30	34	37	38	34	32	23	18	21	19	22	15	14	21	38	30	34	37	38	34	32	23	18	21	19	22	15	14	21	8.413069E7	8.2847E7	8.3352E7	8.960343E7	8.98761E7	8.662402E7	8.689429E7	7.319398E7	5.5469612E7	7.033465E7	7.668772E7	8.532868E7	9.189944E7	8.2501656E7	8.4188024E7	1.103123E7	1.0280304E7	1.1177503E7	1.0924277E7	1.1386412E7	1.0950091E7	1.1722329E7	1.0637863E7	9023041.0	1.0540662E7	1.0932482E7	1.2223919E7	1.1761764E7	1.1763205E7	1.1177438E7	
sp|P25719|CYPC_YEAST	P25719	CYPC_YEAST	CPR3	182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase C, mitochondrial	1.0	0.999	6	68	68	68	6	7	5	5	5	5	5	5	4	4	3	4	4	3	3	6	7	5	5	5	5	5	5	4	4	3	4	4	3	3	6	7	5	5	5	5	5	5	4	4	3	4	4	3	3	4.960148E7	4.8630616E7	4.8917096E7	5.1913364E7	4.955598E7	5.2461944E7	4.2887028E7	4.7766456E7	4.02856E7	4.506241E7	3.940665E7	3.8734836E7	4.176745E7	4.419113E7	4.1103596E7	1.5140632E7	1.4835065E7	1.5046628E7	1.57957E7	1.5201791E7	1.6059483E7	1.2577477E7	1.4267487E7	1.2737458E7	1.4831331E7	1.221152E7	1.1809814E7	1.2589105E7	1.3793858E7	1.2946497E7	
sp|P26321|RL5_YEAST	P26321	RL5_YEAST	RPL5	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Large ribosomal subunit protein uL18	1.0	0.999	5	88	88	88	6	5	6	6	7	6	7	6	7	6	5	6	5	5	5	6	5	6	6	7	6	7	6	7	6	5	6	5	5	5	6	5	6	6	7	6	7	6	7	6	5	6	5	5	5	5.9551176E7	5.843994E7	5.809918E7	5.840505E7	5.650601E7	5.5346252E7	3.9514132E7	3.9396256E7	2.4634868E7	5.9493304E7	4.3825704E7	4.044541E7	3.4264756E7	5.210183E7	5.0178388E7	1.8290542E7	1.710246E7	1.7373174E7	1.7701322E7	1.7058998E7	1.8003242E7	1.5625082E7	1.7139328E7	1.3442661E7	1.785363E7	1.4542398E7	1.5496477E7	1.9095534E7	1.7551352E7	1.8277818E7	
sp|P26637|SYLC_YEAST	P26637	SYLC_YEAST	CDC60	1090	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Leucine--tRNA ligase, cytoplasmic	1.0	0.999	20	166	162	166	16	13	15	14	16	16	11	9	5	8	8	12	9	7	7	15	13	14	13	16	15	11	9	5	8	8	12	9	7	7	16	13	15	14	16	16	11	9	5	8	8	12	9	7	7	2.1164802E7	2.0526198E7	2.1462842E7	2.0965554E7	2.1301908E7	2.001053E7	1.8140498E7	1.8473968E7	1.5062332E7	1.7436238E7	2.0272844E7	1.8828242E7	1.9808572E7	2.1185596E7	1.8465578E7	2372404.2	2329634.8	2424896.8	2319641.0	2318470.5	2094421.2	2328495.5	2466760.2	2302821.5	2205969.2	2255338.2	2205300.0	2268378.2	2388496.5	2240982.2	
sp|P26754|RFA2_YEAST	P26754	RFA2_YEAST	RFA2	273	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Replication factor A protein 2	0.9388	0.9982	1	2	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1336685.0	1287960.4	1240788.9	1288576.0	1261774.8	1370753.1	1127474.6	952820.5	1338183.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
